v_upper,v_lower,FCF,overlap,r_centroid_A,transition_moment_integral,vibronic_strength
24,0,1.540833353438e-02,1.241303086856e-01,2.71571325,1.241303086856e-01,1.540833353438e-02
24,1,2.798438201012e-02,1.672853311266e-01,2.72294169,1.672853311266e-01,2.798438201012e-02
24,2,5.154632017912e-03,7.179576601661e-02,2.72866373,7.179576601661e-02,5.154632017912e-03
24,3,6.882488857949e-03,-8.296076698024e-02,2.74150780,-8.296076698024e-02,6.882488857949e-03
24,4,1.543952508420e-02,-1.242558855113e-01,2.74741290,-1.242558855113e-01,1.543952508420e-02
24,5,3.673703337367e-05,-6.061108262823e-03,2.71746491,-6.061108262823e-03,3.673703337367e-05
24,6,1.284046195028e-02,1.133157621440e-01,2.76621750,1.133157621440e-01,1.284046195028e-02
24,7,5.462957591754e-03,7.391182308504e-02,2.77181641,7.391182308504e-02,5.462957591754e-03
24,8,4.381465417219e-03,-6.619263869358e-02,2.78673930,-6.619263869358e-02,4.381465417219e-03
24,9,1.200836610033e-02,-1.095826906967e-01,2.79221497,-1.095826906967e-01,1.200836610033e-02
25,0,1.660720524655e-02,-1.288689460132e-01,2.71269015,-1.288689460132e-01,1.660720524655e-02
25,1,2.619002700363e-02,-1.618333309415e-01,2.71976801,-1.618333309415e-01,2.619002700363e-02
25,2,2.718223494756e-03,-5.213658499323e-02,2.72437326,-5.213658499323e-02,2.718223494756e-03
25,3,9.469082655434e-03,9.730921156516e-02,2.73769427,9.730921156516e-02,9.469082655434e-03
25,4,1.256237531358e-02,1.120820026301e-01,2.74364894,1.120820026301e-01,1.256237531358e-02
25,5,4.236766651378e-04,-2.058340752008e-02,2.76450187,-2.058340752008e-02,4.236766651378e-04
25,6,1.384502131924e-02,-1.176648686705e-01,2.76217450,-1.176648686705e-01,1.384502131924e-02
25,7,2.124613589762e-03,-4.609353088842e-02,2.76589585,-4.609353088842e-02,2.124613589762e-03
25,8,7.833163821768e-03,8.850516268426e-02,2.78168499,8.850516268426e-02,7.833163821768e-03
25,9,8.427023110093e-03,9.179881867482e-02,2.78752751,9.179881867482e-02,8.427023110093e-03
26,0,1.766716669523e-02,1.329178945636e-01,2.70977495,1.329178945636e-01,1.766716669523e-02
26,1,2.408417511423e-02,1.551907700678e-01,2.71669843,1.551907700678e-01,2.408417511423e-02
26,2,1.097594480270e-03,3.312996348127e-02,2.71906761,3.312996348127e-02,1.097594480270e-03
26,3,1.163944653904e-02,-1.078862666841e-01,2.73415022,-1.078862666841e-01,1.163944653904e-02
26,4,9.389919965581e-03,-9.690159939640e-02,2.73991393,-9.690159939640e-02,9.389919965581e-03
26,5,1.948458686145e-03,4.414134893889e-02,2.75480769,4.414134893889e-02,1.948458686145e-03
26,6,1.327748190680e-02,1.152279562728e-01,2.75828601,1.152279562728e-01,1.327748190680e-02
26,7,3.074071982593e-04,1.753303163344e-02,2.75343932,1.753303163344e-02,3.074071982593e-04
26,8,1.047471159361e-02,-1.023460384852e-01,2.77728336,-1.023460384852e-01,1.047471159361e-02
26,9,4.557310325166e-03,-6.750785380358e-02,2.78250204,-6.750785380358e-02,4.557310325166e-03
27,0,1.857237720415e-02,-1.362805092599e-01,2.70696549,-1.362805092599e-01,1.857237720415e-02
27,1,2.177808195058e-02,-1.475739880554e-01,2.71372978,-1.475739880554e-01,2.177808195058e-02
27,2,2.282796059261e-04,-1.510892471111e-02,2.70897112,-1.510892471111e-02,2.282796059261e-04
27,3,1.320055319979e-02,1.148936603986e-01,2.73080001,1.148936603986e-01,1.320055319979e-02
27,4,6.358416051379e-03,7.973967676997e-02,2.73613361,7.973967676997e-02,6.358416051379e-03
27,5,4.087616617736e-03,-6.393447127909e-02,2.74971278,-6.393447127909e-02,4.087616617736e-03
27,6,1.148003079099e-02,-1.071449055765e-01,2.75449700,-1.071449055765e-01,1.148003079099e-02
27,7,9.530359740027e-05,9.762356139799e-03,2.78897173,9.762356139799e-03,9.530359740027e-05
27,8,1.164792090738e-02,1.079255340843e-01,2.77318953,1.079255340843e-01,1.164792090738e-02
27,9,1.582787824655e-03,3.978426604394e-02,2.77605124,3.978426604394e-02,1.582787824655e-03
28,0,1.931307357150e-02,1.389714847424e-01,2.70425965,1.389714847424e-01,1.931307357150e-02
